Inhibitor_RefID,CHEMBL_ID,Kinase_Target
189,CHEMBL1852688,FGFR3
190,CHEMBL2177390,AKT1
191,CHEMBL2177390,AKT2
192,CHEMBL2177390,AKT3
193,CHEMBL3622820,JAK1
194,CHEMBL554,EGFR
195,CHEMBL554,ERBB2
196,CHEMBL3889654,NTRK1
197,CHEMBL3889654,NTRK2
198,CHEMBL3889654,NTRK3
199,CHEMBL1289601,FLT1
200,CHEMBL1289601,KDR
201,CHEMBL1289601,FLT4
202,CHEMBL1289601,FGFR1
203,CHEMBL1289601,FGFR2
204,CHEMBL1289601,FGFR3
205,CHEMBL1289601,FGFR4
206,CHEMBL1289601,KIT
207,CHEMBL603469,FLT3
208,CHEMBL223360,FLT3
209,CHEMBL223360,CSF1R
210,CHEMBL223360,KDR
211,CHEMBL1091644,IGF1R
212,CHEMBL3286830,ALK
213,CHEMBL3286830,ROS1
214,CHEMBL1088752,MAPK14
215,CHEMBL1088752,MAPK11
216,CHEMBL1088752,MAPK13
217,CHEMBL1088752,MAPK12
218,CHEMBL2220486,FLT1
219,CHEMBL2220486,KDR
220,CHEMBL2220486,FLT4
221,CHEMBL2220486,FGFR1
222,CHEMBL2220486,FGFR2
223,CHEMBL1908391,KIT
224,CHEMBL1908391,PDGFRA
225,CHEMBL1908391,PDGFRB
226,CHEMBL1908391,FGFR1
227,CHEMBL1908391,FGFR2
228,CHEMBL1908391,FGFR3
229,CHEMBL3545307,MET
230,CHEMBL564829,CDK1
231,CHEMBL564829,NTRK1
232,CHEMBL1078178,JAK1
233,CHEMBL1078178,JAK2
234,CHEMBL1078178,JAK3
235,CHEMBL572881,FLT1
236,CHEMBL572881,KDR
237,CHEMBL572881,FLT4
238,CHEMBL572881,PDGFRA
239,CHEMBL572881,PDGFRB
240,CHEMBL572881,KIT
241,CHEMBL572881,RET
242,CHEMBL1614707,EGFR
243,CHEMBL1614707,ERBB2
244,CHEMBL3663929,EGFR
245,CHEMBL119385,MAPK14
246,CHEMBL180022,ERBB2
247,CHEMBL180022,EGFR
248,CHEMBL255863,ABL1
249,CHEMBL255863,KIT
250,CHEMBL502835,FLT1
251,CHEMBL502835,KDR
252,CHEMBL502835,FLT4
253,CHEMBL502835,FGFR1
254,CHEMBL502835,FGFR2
255,CHEMBL502835,FGFR3
256,CHEMBL502835,FLT3
257,CHEMBL502835,LCK
258,CHEMBL502835,LYN
259,CHEMBL502835,SRC
260,CHEMBL2103874,JAK1
261,CHEMBL2103874,JAK2
262,CHEMBL2103874,JAK3
263,CHEMBL3786343,EGFR
264,CHEMBL1236962,PIK3CA
265,CHEMBL1236962,MTOR
266,CHEMBL274654,KDR
267,CHEMBL274654,PDGFRB
268,CHEMBL274654,FGFR1
269,CHEMBL3353410,EGFR
270,CHEMBL2035187,JAK2
271,CHEMBL189963,CDK4
272,CHEMBL189963,CDK6
273,CHEMBL1090089,MAPK14
274,CHEMBL1090089,MAPK11
275,CHEMBL477772,FLT1
276,CHEMBL477772,KDR
277,CHEMBL477772,FLT4
278,CHEMBL477772,PDGFRA
279,CHEMBL477772,PDGFRB
280,CHEMBL477772,KIT
281,CHEMBL477772,FGFR3
282,CHEMBL477772,ITK
283,CHEMBL477772,FGFR1
284,CHEMBL607707,EGFR
285,CHEMBL607707,ERBB2
286,CHEMBL3813873,FLT3
287,CHEMBL3813873,KIT
288,CHEMBL3813873,CSF1R
289,CHEMBL3991932,MAPK14
290,CHEMBL3991932,TEK
291,CHEMBL521851,PIK3CA
292,CHEMBL521851,PIK3CB
293,CHEMBL521851,PIK3CD
294,CHEMBL521851,PIK3CG
295,CHEMBL3360203,PIK3CA
296,CHEMBL3360203,PIK3CB
297,CHEMBL3360203,PIK3CD
298,CHEMBL3360203,PIK3CG
299,CHEMBL2107832,MAP2K1
300,CHEMBL2107832,MAP2K2
301,CHEMBL1171837,ABL1
302,CHEMBL1171837,BCR
303,CHEMBL1171837,KIT
304,CHEMBL1171837,RET
305,CHEMBL1171837,TEK
306,CHEMBL1171837,FLT3
307,CHEMBL1171837,FGFR1
308,CHEMBL1171837,FGFR2
309,CHEMBL1171837,FGFR3
310,CHEMBL1171837,FGFR4
311,CHEMBL1171837,LCK
312,CHEMBL1171837,SRC
313,CHEMBL1171837,LYN
314,CHEMBL1171837,KDR
315,CHEMBL1171837,PDGFRA
316,CHEMBL3545154,EGFR
317,CHEMBL3544911,CHEK1
318,CHEMBL3544911,CHEK2
319,CHEMBL3647420,EGFR
320,CHEMBL3647420,ERBB2
321,CHEMBL576982,FLT3
322,CHEMBL576982,CSF1R
323,CHEMBL576982,KIT
324,CHEMBL3039517,CHEK1
325,CHEMBL2364626,MAPK14
326,CHEMBL2364626,MAPK11
327,CHEMBL1738757,FLT3
328,CHEMBL1738757,TEK
329,CHEMBL1738757,KDR
330,CHEMBL1738757,LYN
331,CHEMBL1738757,BCR
332,CHEMBL1738757,ABL1
333,CHEMBL1738757,NTRK1
334,CHEMBL1236682,MAP2K1
335,CHEMBL1946170,FLT1
336,CHEMBL1946170,KDR
337,CHEMBL1946170,FLT4
338,CHEMBL1946170,KIT
339,CHEMBL1946170,PDGFRA
340,CHEMBL1946170,PDGFRB
341,CHEMBL1946170,FGFR1
342,CHEMBL1946170,FGFR2
343,CHEMBL1946170,TEK
344,CHEMBL1946170,DDR2
345,CHEMBL1946170,NTRK1
346,CHEMBL1946170,EPHA2
347,CHEMBL1946170,RAF1
348,CHEMBL1946170,BRAF
349,CHEMBL1946170,MAPK11
350,CHEMBL1946170,FRK
351,CHEMBL1946170,ABL1
352,CHEMBL1946170,RET
353,CHEMBL3545110,CDK4
354,CHEMBL3545110,CDK6
355,CHEMBL1241855,PIK3CA
356,CHEMBL1241855,PLK1
